Timestamp,name, Standard, Superior, Junior Suite, Suite
2023-04-18 16:21:00,Mandarin Oriental,"
€ 803
","
€ 874
","
€ 1,078
","
€ 1,282
"
2023-04-18 16:21:00,Four Seasons Geneva,"
€ 1,155
","
€ 1,369
","
€ 1,751
","
€ 3,861
"
2023-04-18 16:21:00,Hotel d'Angleterre,"
€ 721
","
€ 1,078
","
€ 2,251
","
€ 4,799
"
2023-04-18 16:21:00,Intercontinental Geneve,"
€ 624
","
€ 747
","
€ 1,236
","
€ 7,251
"
2023-04-18 16:21:00,Ritz Carlton Hotel de la Paix,"
€ 925
","
€ 1,078
","
€ 1,537
","
€ 2,149
"
2023-04-18 16:21:00,Beau Rivage Geneva,"
€ 747
","
€ 808
","
€ 1,409
","
€ 2,327
"
2023-04-18 16:21:00,Fairmont Hotel,"
€ 833
","
€ 1,267
","
€ 1,267
","
€ 5,105
"
2023-04-18 16:37:16,Mandarin Oriental,"
€ 803
","
€ 874
","
€ 1,078
","
€ 1,282
"
2023-04-18 16:37:16,Four Seasons Geneva,"
€ 1,155
","
€ 1,369
","
€ 1,751
","
€ 3,861
"
2023-04-18 16:37:16,Hotel d'Angleterre,"
€ 721
","
€ 1,078
","
€ 2,251
","
€ 4,799
"
2023-04-18 16:37:16,Intercontinental Geneve,"
€ 624
","
€ 747
","
€ 1,236
","
€ 7,251
"
2023-04-18 16:37:16,Ritz Carlton Hotel de la Paix,"
€ 925
","
€ 1,078
","
€ 1,537
","
€ 2,149
"
2023-04-18 16:37:16,Beau Rivage Geneva,"
€ 747
","
€ 808
","
€ 1,409
","
€ 2,327
"
2023-04-18 16:37:16,Fairmont Hotel,"
€ 833
","
€ 1,267
","
€ 1,267
","
€ 5,105
"
2023-04-18 16:41:43,Mandarin Oriental,"
€ 803
","
€ 874
","
€ 1,078
","
€ 1,282
"
2023-04-18 16:41:43,Four Seasons Geneva,"
€ 1,155
","
€ 1,369
","
€ 1,751
","
€ 3,861
"
2023-04-18 16:41:43,Hotel d'Angleterre,"
€ 721
","
€ 1,078
","
€ 2,251
","
€ 4,799
"
2023-04-18 16:41:43,Intercontinental Geneve,"
€ 624
","
€ 747
","
€ 1,236
","
€ 7,251
"
2023-04-18 16:41:43,Ritz Carlton Hotel de la Paix,"
€ 925
","
€ 1,078
","
€ 1,537
","
€ 2,149
"
2023-04-18 16:41:43,Beau Rivage Geneva,"
€ 747
","
€ 808
","
€ 1,409
","
€ 2,327
"
2023-04-18 16:41:43,Fairmont Hotel,"
€ 833
","
€ 1,267
","
€ 1,267
","
€ 5,105
"
2023-04-19 09:16:06,Mandarin Oriental,0,0,0,0
2023-04-19 09:16:06,Four Seasons Geneva,0,0,0,0
2023-04-19 09:16:06,Hotel d'Angleterre,0,0,0,0
2023-04-19 09:16:06,Intercontinental Geneve,0,0,0,0
2023-04-19 09:16:06,Ritz Carlton Hotel de la Paix,0,0,0,0
2023-04-19 09:16:06,Beau Rivage Geneva,0,0,0,0
2023-04-19 09:16:06,Fairmont Hotel,0,0,0,0
2023-04-19 09:42:49,Mandarin Oriental,0,0,0,0
2023-04-19 09:42:49,Four Seasons Geneva,0,0,0,0
2023-04-19 09:42:49,Hotel d'Angleterre,0,0,0,0
2023-04-19 09:42:49,Intercontinental Geneve,0,0,0,0
2023-04-19 09:42:49,Ritz Carlton Hotel de la Paix,0,0,0,0
2023-04-19 09:42:49,Beau Rivage Geneva,0,0,0,0
2023-04-19 09:42:49,Fairmont Hotel,0,0,0,0
2023-04-19 09:43:42,Mandarin Oriental,0,0,0,0
2023-04-19 09:43:42,Four Seasons Geneva,0,0,0,0
2023-04-19 09:43:42,Hotel d'Angleterre,0,0,0,0
2023-04-19 09:43:42,Intercontinental Geneve,0,0,0,0
2023-04-19 09:43:42,Ritz Carlton Hotel de la Paix,0,0,0,0
2023-04-19 09:43:42,Beau Rivage Geneva,0,0,0,0
2023-04-19 09:43:42,Fairmont Hotel,0,0,0,0
