Timestamp,name, Standard, Superior, Junior Suite, Suite
2023-04-19 10:05:35,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-19 09:49:24,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-20 14:48:46,Beau Rivage Geneva,"
€ 617
","
€ 678
","
€ 1,277
","
€ 2,191
"
2023-04-19 09:50:14,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-20 14:41:21,Beau Rivage Geneva,"
€ 617
","
€ 678
","
€ 1,277
","
€ 2,191
"
2023-04-19 09:54:59,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-20 13:54:41,Beau Rivage Geneva,"
€ 617
","
€ 678
","
€ 1,277
","
€ 2,191
"
2023-04-19 10:08:58,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-19 10:11:12,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-20 13:53:52,Beau Rivage Geneva,"
€ 617
","
€ 678
","
€ 1,277
","
€ 2,191
"
2023-04-19 10:13:31,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-20 10:34:46,Beau Rivage Geneva,"
€ 617
","
€ 678
","
€ 1,277
","
€ 2,191
"
2023-04-19 10:17:26,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-20 14:55:46,Beau Rivage Geneva,"
€ 617
","
€ 678
","
€ 1,277
","
€ 2,191
"
2023-04-19 10:40:52,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-19 15:29:13,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-19 11:19:38,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-19 15:25:36,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-19 09:47:23,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-20 14:49:53,Beau Rivage Geneva,"
€ 617
","
€ 678
","
€ 1,277
","
€ 2,191
"
2023-04-19 15:27:30,Beau Rivage Geneva,"
€ 744
","
€ 805
","
€ 1,405
","
€ 2,319
"
2023-04-18 16:41:43,Beau Rivage Geneva,"
€ 747
","
€ 808
","
€ 1,409
","
€ 2,327
"
2023-04-18 16:37:16,Beau Rivage Geneva,"
€ 747
","
€ 808
","
€ 1,409
","
€ 2,327
"
2023-04-20 14:52:05,Beau Rivage Geneva,"
€ 617
","
€ 678
","
€ 1,277
","
€ 2,191
"
2023-04-18 16:21:00,Beau Rivage Geneva,"
€ 747
","
€ 808
","
€ 1,409
","
€ 2,327
"
2023-04-20 14:49:53,Fairmont Hotel,"
€ 719
","
€ 1,165
","
€ 1,165
","
€ 5,086
"
2023-04-19 09:54:59,Fairmont Hotel,"
€ 760
","
€ 1,196
","
€ 1,196
","
€ 5,088
"
